,Depth,DHW,D1_ratio
sample1,4.2,5.76,0.003
sample2,4.2,5.76,0.682
sample3,4.2,5.76,0.461
sample4,4.2,5.76,0.001
sample5,4.2,5.76,0.849
sample6,0.8,5.75,0.35
sample7,0.8,5.75,0.819
sample8,0.8,5.75,0.873
sample9,0.8,5.75,0.642
sample10,0.8,5.75,0.884
sample11,3.1,9.92,0.27
sample12,3.1,9.92,0.651
sample13,3.1,9.92,0.81
sample14,3.1,9.92,0.802
sample15,12.2,10.28,0.851
sample16,12.2,10.28,0.844
sample17,12.2,10.28,0.876
sample18,19.9,9.92,0.464
sample19,19.9,9.92,0.459
sample20,0.7,10.71,0.811
sample21,0.7,10.71,0.765
sample22,0.7,10.71,0.686
sample23,3.7,10.71,0.786
sample24,3.7,10.71,0.996
sample25,8.7,10.77,0.729
sample26,8.7,10.77,0.982
sample27,8.7,10.77,0.978
sample28,8.7,10.77,0.448
sample29,0.7,10.71,0.278
sample30,1.5,12.04,0.912
sample31,1.5,12.04,0.857
sample32,1.5,12.04,0.865
sample33,1.5,12.04,0.853
sample34,6.7,12.01,0.349
sample35,6.7,12.01,0.069
sample36,6.7,12.01,0.749
sample37,11.3,12.04,0.834
sample38,11.3,12.04,0.835
sample39,11.3,12.04,0.837
sample40,11.3,12.04,0.853
sample41,1.5,12.04,0.855
sample42,6.7,12.01,0.665
sample43,6.7,12.01,0.64
sample44,2,9.72,0.902
sample45,2,9.72,0.727
sample46,2,9.72,0.902
sample47,2,9.72,0.889
sample48,8.3,0,0.944
sample49,8.7,0,0.889
sample50,5.5,0,0.966
sample51,5.5,0,0.984
sample52,5.5,0,0.971
sample53,8.5,0,1
sample54,8.5,0,0.771
sample55,8.5,0,0.571
sample56,0.6,0,0.959
sample57,0.6,0,0.975
sample58,0.6,0,0.929
sample59,5.2,0,0.97
sample60,5.2,0,0.057
sample61,5.2,0,0.996
sample62,9.2,0,0.021
sample63,4.6,0,0.811
sample64,4.6,0,0.148
sample65,4.6,0,0.856
sample66,1.5,0,0.999
sample67,1.5,0,0.882
sample68,1.5,0,0.005
sample69,5.8,0,0.987
sample70,5.8,0,0.987
sample71,3.1,0,0.004
sample72,7.6,0,0.999
sample73,7.6,0,0.201
sample74,7.6,0,0.995
sample75,6.2,0,0.982
sample76,6.2,0,0.804
sample77,6.2,0,0.898
sample78,1.5,0,0.961
sample79,1.5,0,0.998
sample80,3,0,0.948
sample81,3,0,0.685
sample82,3,0,0.867
sample83,1.6,0,0.91
sample84,3.8,0,0.273
sample85,3.8,0,0.999
sample86,3.8,0,1
sample87,6.7,0,0
sample88,6.7,0,0
sample89,8,0,0.949
