sample-id	Name	Time	Station
#q2:types			
sample1	Pa-20au-HGJ-1	20au	HGJ
sample2	Pa-20au-HGJ-2	20au	HGJ
sample3	Pa-20au-HGJ-3	20au	HGJ
sample4	Pa-20au-HGJ-4	20au	HGJ
sample5	Pa-20au-HGJ-5	20au	HGJ
sample6	Pa-20au-HGJ-6	20au	HGJ
sample7	Pa-20au-HGJ-7	20au	HGJ
sample8	Pa-20au-HGJ-8	20au	HGJ
sample9	Pa-20au-HGJ-9	20au	HGJ
sample10	Pa-20au-HGJ-10	20au	HGJ
sample11	Pa-20au-JQD-1	20au	JQD
sample12	Pa-20au-JQD-2	20au	JQD
sample13	Pa-20au-JQD-3	20au	JQD
sample14	Pa-20au-JQD-4	20au	JQD
sample15	Pa-20au-JQD-5	20au	JQD
sample16	Pa-20au-JQD-6	20au	JQD
sample17	Pa-20au-JQD-7	20au	JQD
sample18	Pa-20au-JQD-8	20au	JQD
sample19	Pa-20au-JQD-9	20au	JQD
sample20	Pa-20au-LYJ-1	20au	LYJ
sample21	Pa-20au-LYJ-2	20au	LYJ
sample22	Pa-20au-LYJ-3	20au	LYJ
sample23	Pa-20au-LYJ-4	20au	LYJ
sample24	Pa-20au-LYJ-5	20au	LYJ
sample25	Pa-20au-LYJ-6	20au	LYJ
sample26	Pa-20au-LYJ-7	20au	LYJ
sample27	Pa-20au-LYJ-8	20au	LYJ
sample28	Pa-20au-LYJ-9	20au	LYJ
sample29	Pa-20au-LYJ-10	20au	LYJ
sample30	Pa-20au-YY-1	20au	YY
sample31	Pa-20au-YY-2	20au	YY
sample32	Pa-20au-YY-3	20au	YY
sample33	Pa-20au-YY-4	20au	YY
sample34	Pa-20au-YY-5	20au	YY
sample35	Pa-20au-YY-6	20au	YY
sample36	Pa-20au-YY-7	20au	YY
sample37	Pa-20au-YY-8	20au	YY
sample38	Pa-20au-YY-9	20au	YY
sample39	Pa-20au-YY-10	20au	YY
sample40	Pa-20au-YY-11	20au	YY
sample41	Pa-20au-YY-12	20au	YY
sample42	Pa-20au-YY-13	20au	YY
sample43	Pa-20au-YY-14	20au	YY
sample44	Pa-20au-ZSD-1	20au	ZSD
sample45	Pa-20au-ZSD-2	20au	ZSD
sample46	Pa-20au-ZSD-3	20au	ZSD
sample47	Pa-20au-ZSD-4	20au	ZSD
sample48	Pa-21sp-BD-1	21sp	BD
sample49	Pa-21sp-BD-2	21sp	BD
sample50	Pa-21sp-BSZ-1	21sp	BSZ
sample51	Pa-21sp-BSZ-2	21sp	BSZ
sample52	Pa-21sp-BSZ-3	21sp	BSZ
sample53	Pa-21sp-DD-1	21sp	DD
sample54	Pa-21sp-DD-2	21sp	DD
sample55	Pa-21sp-DD-3	21sp	DD
sample56	Pa-21sp-JQD-1	21sp	JQD
sample57	Pa-21sp-JQD-2	21sp	JQD
sample58	Pa-21sp-JQD-3	21sp	JQD
sample59	Pa-21sp-JYD-1	21sp	JYD
sample60	Pa-21sp-JYD-2	21sp	JYD
sample61	Pa-21sp-JYD-3	21sp	JYD
sample62	Pa-21sp-LHJ-1	21sp	LHJ
sample63	Pa-21sp-LYJ-1	21sp	LYJ
sample64	Pa-21sp-LYJ-2	21sp	LYJ
sample65	Pa-21sp-LYJ-3	21sp	LYJ
sample66	Pa-21sp-NSZ-1	21sp	NSZ
sample67	Pa-21sp-NSZ-2	21sp	NSZ
sample68	Pa-21sp-NSZ-3	21sp	NSZ
sample69	Pa-21sp-PSY-1	21sp	PSY
sample70	Pa-21sp-PSY-2	21sp	PSY
sample71	Pa-21sp-SHD-1	21sp	CHD
sample72	Pa-21sp-SY-1	21sp	SY
sample73	Pa-21sp-SY-2	21sp	SY
sample74	Pa-21sp-SY-3	21sp	SY
sample75	Pa-21sp-XSZ-1	21sp	XSZ
sample76	Pa-21sp-XSZ-2	21sp	XSZ
sample77	Pa-21sp-XSZ-3	21sp	XSZ
sample78	Pa-21sp-YGD-1	21sp	YGD
sample79	Pa-21sp-YGD-2	21sp	YGD
sample80	Pa-21sp-YXD-1	21sp	YXD
sample81	Pa-21sp-YXD-2	21sp	YXD
sample82	Pa-21sp-YXD-3	21sp	YXD
sample83	Pa-21sp-YY-1	21sp	YY
sample84	Pa-21sp-YZJ-1	21sp	YZJ
sample85	Pa-21sp-YZJ-2	21sp	YZJ
sample86	Pa-21sp-YZJ-3	21sp	YZJ
sample87	Pa-21sp-ZJD-1	21sp	ZJD
sample88	Pa-21sp-ZJD-2	21sp	ZJD
sample89	Pa-21sp-ZSD-1	21sp	ZSD
