sample-id,DHW,Depth
sample1,5.76,4.2
sample2,5.76,4.2
sample3,5.76,4.2
sample4,5.76,4.2
sample5,5.76,4.2
sample6,5.75,0.8
sample7,5.75,0.8
sample8,5.75,0.8
sample9,5.75,0.8
sample10,5.75,0.8
sample11,9.92,3.1
sample12,9.92,3.1
sample13,9.92,3.1
sample14,9.92,3.1
sample15,10.28,12.2
sample16,10.28,12.2
sample17,10.28,12.2
sample18,9.92,19.9
sample19,9.92,19.9
sample20,10.71,0.7
sample21,10.71,0.7
sample22,10.71,0.7
sample23,10.71,3.7
sample24,10.71,3.7
sample25,10.77,8.7
sample26,10.77,8.7
sample27,10.77,8.7
sample28,10.77,8.7
sample29,10.71,0.7
sample30,12.04,1.5
sample31,12.04,1.5
sample32,12.04,1.5
sample33,12.04,1.5
sample34,12.01,6.7
sample35,12.01,6.7
sample36,12.01,6.7
sample37,12.04,11.3
sample38,12.04,11.3
sample39,12.04,11.3
sample40,12.04,11.3
sample41,12.04,1.5
sample42,12.01,6.7
sample43,12.01,6.7
sample44,9.72,2
sample45,9.72,2
sample46,9.72,2
sample47,9.72,2
sample48,0,8.3
sample49,0,8.7
sample50,0,5.5
sample51,0,5.5
sample52,0,5.5
sample53,0,8.5
sample54,0,8.5
sample55,0,8.5
sample56,0,0.6
sample57,0,0.6
sample58,0,0.6
sample59,0,5.2
sample60,0,5.2
sample61,0,5.2
sample62,0,9.2
sample63,0,4.6
sample64,0,4.6
sample65,0,4.6
sample66,0,1.5
sample67,0,1.5
sample68,0,1.5
sample69,0,5.8
sample70,0,5.8
sample71,0,3.1
sample72,0,7.6
sample73,0,7.6
sample74,0,7.6
sample75,0,6.2
sample76,0,6.2
sample77,0,6.2
sample78,0,1.5
sample79,0,1.5
sample80,0,3
sample81,0,3
sample82,0,3
sample83,0,1.6
sample84,0,3.8
sample85,0,3.8
sample86,0,3.8
sample87,0,6.7
sample88,0,6.7
sample89,0,8
