,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample58,sample59,sample60,sample61,sample62,sample63,sample64,sample65,sample66,sample67,sample68,sample69,sample70,sample71,sample72,sample73,sample74,sample75,sample76,sample77,sample78,sample79,sample80,sample81,sample82,sample83,sample84,sample85,sample86,sample87,sample88,sample89
09e0465e930e42ef90109feb37c269cc,147,72134,24572,102,52156,21630,48811,52661,33116,54575,14218,33963,45518,43442,44691,47732,50049,22053,23978,46683,45568,41354,38956,50687,41755,47793,48654,24806,15604,53538,47883,49788,47656,19575,2809,43067,41946,40453,41931,42395,47391,30407,20942,50574,39045,52248,48698,64001,46203,21624,28408,59713,29121,34470,20122,15717,91551,26758,29596,3547,65211,385,12267,8118,51174,75846,16574,226,28581,30706,203,37909,9128,59265,41124,17108,35369,63565,47283,34436,33934,48153,3219,8384,25373,44833,11,19,43589
12ebd78731ac4301dc94f5948229f42a,0,3652,1486,0,0,0,187,0,1585,0,218,1884,2182,2565,2894,2332,2344,2333,1796,1883,1283,1228,4395,9117,1508,11379,11282,1325,1045,2322,2097,2024,2042,1219,328,1779,4832,4587,4720,4952,2144,3085,2479,2202,2268,2158,2075,21959,4767,5563,1364,14707,1258,0,366,100,3799,304,8050,0,433,165,2394,0,0,10833,10539,0,543,972,0,579,221,0,12834,2583,9335,408,6640,2278,0,340,0,0,374,0,0,0,0
23baea8280216959be88f33c4992ecbb,0,4548,1361,0,1332,606,917,1569,1543,1478,366,1780,1685,1987,1945,1814,1758,1022,1179,2191,704,668,3655,4431,1672,3623,3367,1374,673,1755,1664,1612,1664,1428,306,875,4203,4380,4136,4369,1613,1965,1169,1876,1518,1730,1599,1563,3698,3325,4251,618,553,1385,981,212,206,363,494,0,328,38,242,195,52,1115,2699,0,1360,1353,0,1430,1181,2245,214,399,541,358,3589,2712,1703,1694,22742,342,846,968,0,0,1522
7d4899fb4f2a7bc9a3b9cf7ca4a3a4af,0,335,159,0,0,0,0,0,86,0,0,0,201,230,226,250,207,256,49,115,151,186,116,218,0,282,266,109,0,236,237,238,235,130,0,0,215,139,162,152,233,188,96,259,198,270,211,498,859,9217,5509,455,0,0,0,215,0,116,0,0,0,0,174,0,0,1224,11411,0,202,0,0,0,0,0,0,0,657,0,546,0,0,100,0,67,52,0,0,0,277
a9480cfa7785265324b7ad931ac2a05a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12494,0,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21033,0,0,0,0,0,0,0,0,0
a96f596f8d9d374c92a1347dccbbb509,0,756,396,0,0,0,0,0,187,0,0,460,1385,1440,1709,1635,1951,0,91,624,501,366,0,0,100,0,0,514,342,2113,1813,1914,1866,7,0,162,0,0,0,0,1895,0,0,2067,1337,2261,2192,0,663,7354,5380,0,0,0,0,372,174,114,0,0,54,76,0,0,0,0,4002,0,352,0,0,0,0,0,0,0,0,116,50,0,0,200,0,0,0,0,0,0,413
ca1852171dd2d6b3f4bcf58f09a150f5,0,339,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25327,0,53699,0,0,0,0,0,0,0,0,0,0,24390,0,0,1751,66,0,0,0,0,0,0,0,0,0,0,0,6778,0,0,0,0
cfac5af5fc691f368d466b29b1bec973,0,2878,347,0,313,90,414,266,1802,219,1465,861,295,228,283,194,141,679,496,447,691,1079,1228,2648,448,1997,2359,335,447,160,256,170,193,1094,99,1321,1381,1103,1154,1164,128,1187,1155,123,241,135,133,17269,2844,60592,61550,23640,24641,15929,14534,5406,7187,10271,1386,157,1932,366,3205,1606,2438,19034,45937,43,9287,21412,57,5320,1121,6165,12367,1148,10942,1010,9584,1498,30965,5849,37,1760,7385,21954,0,0,17471
c2b852a87678f7e7005d1ad5cca4ef53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030,0,57,0,0,0,0
8321891fef1cf4be843f31442a2b652b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597
