,Sample,Station,Time,DHW,Depth,Chlorophyll,Density,Carbohydrate,Protein,Lipid,Ea,Ec,CEA,N15,C13,C_N_ratio,D1_ratio,D_numbers,C_numbers,ASV_numbers
1,Pa-20au-HGJ-1,HGJ,20au,5.76,4.2,2.569,4.689,0.112,0.219,0.697,34.722,177.47,195.651,1.466,-20.449,4.729,0.003,147,41601,41748
2,Pa-20au-HGJ-2,HGJ,20au,5.76,4.2,4.33,2.378,0.118,0.284,0.182,16.045,202.373,79.286,2.534,-18.428,4.642,0.682,84642,40055,124697
3,Pa-20au-HGJ-3,HGJ,20au,5.76,4.2,7.137,2.151,0.141,0.475,0.783,44.788,211.613,211.651,2.135,-18.064,3.725,0.461,28321,33439,61760
4,Pa-20au-HGJ-4,HGJ,20au,5.76,4.2,3.566,3.343,0.034,0.336,0.847,42.119,197.39,213.381,0.836,-20.601,4.728,0.001,102,88570,88672
5,Pa-20au-HGJ-5,HGJ,20au,5.76,4.2,5.164,2.546,0.114,0.196,0.538,27.928,213.406,130.869,2.184,-19.469,4.181,0.849,53867,9604,63471
6,Pa-20au-HGJ-6,HGJ,20au,5.75,0.8,3.796,7.764,0.086,0.377,0.761,40.606,221.764,183.104,3.328,-18.213,5.216,0.35,22326,40914,63240
7,Pa-20au-HGJ-7,HGJ,20au,5.75,0.8,6.493,4.515,0.144,0.233,0.623,32.752,275.461,118.898,4.124,-18.589,4.659,0.819,50329,11413,61742
8,Pa-20au-HGJ-8,HGJ,20au,5.75,0.8,1.855,6.699,0.134,0.265,0.495,28.259,138.842,203.53,4.449,-18.585,4.707,0.873,54496,7950,62446
9,Pa-20au-HGJ-9,HGJ,20au,5.75,0.8,4.493,2.621,0.436,0.242,0.588,36.66,209.144,175.285,3.59,-17.505,4.536,0.642,38319,21372,59691
10,Pa-20au-HGJ-10,HGJ,20au,5.75,0.8,6.267,4.33,0.469,0.251,0.564,36.529,234.467,155.795,4.808,-17.325,4.325,0.884,56272,7619,63891
11,Pa-20au-JQD-1,JQD,20au,9.92,3.1,3.485,3.604,0.079,0.394,1.64,75.61,289.33,261.327,4.358,-16.9,4.445,0.27,16267,44248,60515
12,Pa-20au-JQD-2,JQD,20au,9.92,3.1,4.032,3.901,0.139,0.319,1.607,73.545,283.877,259.074,3.897,-16.893,4.724,0.651,38948,20981,59929
13,Pa-20au-JQD-3,JQD,20au,9.92,3.1,5.855,1.58,0.135,0.222,1.339,60.572,251.802,240.556,3.972,-16.226,4.459,0.81,51266,12274,63540
14,Pa-20au-JQD-4,JQD,20au,9.92,3.1,5.033,1.564,0.092,0.367,1.181,57.054,323.756,176.227,4.342,-16.588,4.531,0.802,49892,12548,62440
15,Pa-20au-JQD-5,JQD,20au,10.28,12.2,3.802,1.262,0.075,0.231,0.524,27.566,151.815,181.579,4.11,-18.112,4.761,0.851,51748,8953,60701
16,Pa-20au-JQD-6,JQD,20au,10.28,12.2,0.755,2.463,0.109,0.409,0.757,41.61,293.787,141.635,3.845,-16.38,5.061,0.844,53957,9622,63579
17,Pa-20au-JQD-7,JQD,20au,10.28,12.2,4.581,0.847,0.038,0.195,0.164,11.824,109.857,107.629,4.591,-17.105,4.584,0.876,56450,7982,64432
18,Pa-20au-JQD-8,JQD,20au,9.92,19.9,2.936,0.628,0.077,0.038,0.163,8.695,150.994,57.586,3.883,-17.157,4.415,0.464,26343,30543,56886
19,Pa-20au-JQD-9,JQD,20au,9.92,19.9,2.329,2.551,0.123,0.285,0.176,15.953,331.33,48.148,4.434,-18.137,5.505,0.459,27589,32330,59919
20,Pa-20au-LYJ-1,LYJ,20au,10.71,0.7,1.311,6.268,0.092,0.47,0.41,29.088,391.456,74.307,2.16,-17.939,5.557,0.811,51943,12081,64024
21,Pa-20au-LYJ-2,LYJ,20au,10.71,0.7,1.237,12.269,0.149,0.551,0.52,36.362,406.216,89.515,2.916,-17.896,4.3,0.765,49630,15636,65266
22,Pa-20au-LYJ-3,LYJ,20au,10.71,0.7,2.155,4.491,0.022,0.344,0.505,28.619,359.954,79.507,0.599,-18.524,4.469,0.686,44881,20580,65461
23,Pa-20au-LYJ-4,LYJ,20au,10.71,3.7,2.346,2.512,0.147,0.437,0.663,39.261,359.064,109.342,4.929,-16.25,4.612,0.786,48350,13306,61656
24,Pa-20au-LYJ-5,LYJ,20au,10.71,3.7,2.479,2.493,0.143,0.099,0.659,30.893,400.18,77.197,2.159,-17.587,4.848,0.996,67101,193,67294
